,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto,BUSCA
784,21.147.383/0001-03,de 360.000 até 1.500.000,de 10 até 50,-,,Pierplast Ind e Com de Plasticos Ltda
785,10.712.789/0001-67,de 81.000 até 360.000,de 0 até 5,-,,Oxisul Ind e Com de Ferros Ltda
786,00.327.859/0001-00,de 10.000.000 até 30.000.000,de 100 até 500,0,-,Non Woven Plastic Ltda
787,92.830.835/0001-97,de 1.500.000 até 4.800.000,de 50 até 100,0,-,Neumaq Maquinas e Equipamentos Ltda
788,79.233.839/0001-20,de 81.000 até 360.000,de 0 até 5,-,,Navegantes Ind e Com Ltda
789,60.417.896/0001-30,de 0 até 81.000,de 0 até 5,-,,MTI Montagens Tecnicas Inda Ltda
790,92.240.845/0001-72,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Munhões Ind Metalurgica Ltda
791,14.055.326/0001-20,de 81.000 até 360.000,de 0 até 5,-,,MRP Ind e Com Ltda
792,48.055.743/0001-95,de 30.000.000 até 100.000.000,de 100 até 500,0,-,Metalurgica Rigitec Ltda
793,92.700.988/0001-10,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Metalúrgica Mahler Ltda
794,91.506.246/0001-95,de 10.000.000 até 30.000.000,de 100 até 500,0,-,Metalurgica Ecoplan Ltda
795,01.832.151/0001-79,de 360.000 até 1.500.000,de 10 até 50,100,"94.611,95",Metalúrgica Batista Ltda
796,08.929.165/0001-54,de 1.500.000 até 4.800.000,de 10 até 50,0,-,Metalúrgica ATM USI Ltda
797,02.984.383/0001-05,de 4.800.000 até 10.000.000,de 50 até 100,-,,Metaltecnica Metalurgica Ltda
798,00.105.125/0001-86,de 81.000 até 360.000,de 0 até 5,-,,Metalfresa Ind MetalúrgicaLtda
799,03.086.239/0001-14,de 360.000 até 1.500.000,de 10 até 50,284,"1.952.712,50",Cromato Beneficiamento de Metais Ltda
800,05.991.076/0001-40,de 81.000 até 360.000,de 0 até 5,-,,Limpa Mania Ind Eireli
801,87.887.592/0001-93,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Padaria e confeitaria bianchi Ltda
802,10.787.467/0001-87,de 0 até 81.000,de 0 até 5,-,,Dinda Alimentos Ltda
803,14.325.085/0001-92,de 360.000 até 1.500.000,de 0 até 5,-,,Roxy Ind de Calçados Eireli
804,05.980.408/0001-90,de 360.000 até 1.500.000,de 10 até 50,-,,LL Pre Fabricado Ltda
805,00.864.040/0001-81,de 10.000.000 até 30.000.000,de 50 até 100,0,-,Metalúrgica Franke Ltda
806,89.169.486/0001-08,de 81.000 até 360.000,de 0 até 5,-,,Comercial Inst Pneumat  Clason Ltda
807,89.169.486/0001-08,de 81.000 até 360.000,de 0 até 5,-,,Comercial Inst Pneumat  Clason Ltda
808,27.094.760/0001-61,de 81.000 até 360.000,de 0 até 5,-,,Liko Tintas Ltda
809,03.091.310/0001-57,de 1.500.000 até 4.800.000,de 10 até 50,351,"1.716.751,11",03091310000157
810,21.507.726/0001-95,de 81.000 até 360.000,de 0 até 5,-,,Bela Flor Calçados
811,89.632.368/0001-86,de 1.500.000 até 4.800.000,de 10 até 50,0,-,Industria e Comercio de Produtos Alimenticios Biomica Ltda
812,01.850.843/0001-40,de 81.000 até 360.000,de 0 até 5,-,,Polynner Industria Termoplastica Ltda
813,02.027.148/0001-45,de 10.000.000 até 30.000.000,de 50 até 100,0,-,Pacific Shoes Industria e Comercio de Calcados Ltda
814,07.030.842/0001-35,de 10.000.000 até 30.000.000,de 50 até 100,8,"916.924,24",WS Cranes Indústria Metalúrgica Ltda
815,87.036.513/0001-30,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Vidrobox Vidros Gerais Ltda
816,97.445.126/0001-01,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Unirons Plásticos LTDA
817,08.900.149/0001-39,de 360.000 até 1.500.000,de 10 até 50,0,-,Versatronic Inversores e Conversores
818,14.055.326/0001-20,de 81.000 até 360.000,de 0 até 5,-,,Tecnistamp Ind e Com EIRELI
819,03.672.402/0001-20,de 1.500.000 até 4.800.000,de 50 até 100,0,-,Lamiclas Artefatos de Borrachae Laminados Plasticos Ltda
820,05.064.536/0001-94,de 360.000 até 1.500.000,de 5 até 10,-,,Stumer Ind Arte Couro Ltda
821,00.273.969/0001-36,de 360.000 até 1.500.000,de 10 até 50,0,-,Sulgrafica Embalagens Ltda
822,00.383.636/0001-60,de 0 até 81.000,de 0 até 5,-,,Ind de Bolsas Europa Ltda
823,02.545.153/0001-40,de 81.000 até 360.000,de 0 até 5,-,,Tecnoflex Ind Eletronica Ltda
824,03.966.908/0001-42,de 81.000 até 360.000,de 5 até 10,-,,Villa Rosa Calçados
825,01.956.088/0001-82,de 360.000 até 1.500.000,de 0 até 5,-,,Fora DÁgua Calçados Ltda
